Portfolio_ID,User_ID,Stock_ID,Holding_Qty,Avg_Buy_Price,Current_Price,Unrealized_Profit,Last_Updated
1,1,246,105,2876.53,3608.23,76828.5,18-08-2025
2,1,19,415,1596.76,1537.87,-24439.35,18-08-2025
3,1,281,220,1550.76,2151.24,132105.6,18-08-2025
4,1,126,275,824.57,834.45,2717,18-08-2025
5,1,7,396,1216.93,1288.23,28234.8,18-08-2025
6,1,191,184,1399.75,1585.4,34159.6,18-08-2025
7,1,16,149,274.33,306.52,4796.31,18-08-2025
8,1,136,271,1473.44,1754.25,76099.51,18-08-2025
9,2,130,274,2418.78,2620.9,55380.88,18-08-2025
10,2,115,389,2568.25,2095.88,-183751.93,18-08-2025
11,2,4,438,2676.88,2447.52,-100459.68,18-08-2025
12,2,135,421,2056.07,2756.51,294885.24,18-08-2025
13,2,113,451,1314.43,1967.93,294728.5,18-08-2025
14,2,288,280,1617.78,1354.59,-73693.2,18-08-2025
15,2,273,37,449.63,433.58,-593.85,18-08-2025
16,2,166,79,2319.15,3400.73,85444.82,18-08-2025
17,2,122,311,1251.68,1234.98,-5193.7,18-08-2025
18,2,19,461,242.26,346,47824.14,18-08-2025
19,2,116,248,1625.4,1935.99,77026.32,18-08-2025
20,2,92,47,953.48,848.08,-4953.8,18-08-2025
21,2,231,237,1755.35,2018.81,62440.02,18-08-2025
22,3,221,84,705.28,912.16,17377.92,18-08-2025
23,3,276,49,2241.36,3063.77,40298.09,18-08-2025
24,3,154,481,2355.7,2372.79,8220.29,18-08-2025
25,3,197,14,1427.97,1193.02,-3289.3,18-08-2025
26,3,128,473,1617.23,1473.89,-67799.82,18-08-2025
27,4,134,207,2179.77,2908.28,150801.57,18-08-2025
28,4,23,324,940.48,1241.07,97391.16,18-08-2025
29,4,265,319,1334.78,1579.02,77912.56,18-08-2025
30,4,2,465,276.07,320.74,20771.55,18-08-2025
31,4,282,218,647.33,561.15,-18787.24,18-08-2025
32,4,287,177,1444.74,2159.91,126585.09,18-08-2025
33,4,144,266,1149.01,924.19,-59802.12,18-08-2025
34,4,168,478,1281.29,1237.06,-21141.94,18-08-2025
35,4,261,54,2973.28,3431.78,24759,18-08-2025
36,4,121,409,2911.01,4324.16,577978.35,18-08-2025
37,4,43,304,1979.75,2388.37,124220.48,18-08-2025
38,4,88,347,2199.38,3280.46,375134.76,18-08-2025
39,4,99,133,1946.4,2129.98,24416.14,18-08-2025
40,5,38,149,340.97,479.35,20618.62,18-08-2025
41,5,12,248,2272.31,1824.35,-111094.08,18-08-2025
42,5,118,78,1027.89,1411.22,29899.74,18-08-2025
43,5,10,399,1808.72,1686.87,-48618.15,18-08-2025
44,5,167,87,2054.8,2017.65,-3232.05,18-08-2025
45,6,104,196,2008.56,1713.91,-57751.4,18-08-2025
46,6,145,62,2098.77,2091.01,-481.12,18-08-2025
47,6,203,174,2708.81,3361.2,113515.86,18-08-2025
48,6,164,336,1600.71,1667.61,22478.4,18-08-2025
49,6,113,474,2027.43,2012.34,-7152.66,18-08-2025
50,6,206,149,2517.47,2907.68,58141.29,18-08-2025
51,6,196,15,2730.22,3701.23,14565.15,18-08-2025
52,6,282,198,411.23,543.94,26276.58,18-08-2025
53,6,29,101,275.32,342.92,6827.6,18-08-2025
54,6,7,283,106.51,144.7,10807.77,18-08-2025
55,6,182,199,1612.23,2415.14,159779.09,18-08-2025
56,6,116,418,1755.77,1534.31,-92570.28,18-08-2025
57,6,224,28,1802.95,1626.81,-4931.92,18-08-2025
58,6,56,448,2591.05,3447.35,383622.4,18-08-2025
59,6,83,405,1297.46,1896.36,242554.5,18-08-2025
60,7,13,161,1751.16,2096.94,55670.58,18-08-2025
61,7,30,77,1702.89,2074.98,28650.93,18-08-2025
62,7,150,349,2527.82,2343.8,-64222.98,18-08-2025
63,7,85,355,657.59,582.48,-26664.05,18-08-2025
64,7,79,430,2945.49,4337.96,598762.1,18-08-2025
65,7,155,474,420.87,442.49,10247.88,18-08-2025
66,7,263,242,367.69,550.52,44244.86,18-08-2025
67,7,154,220,2809.63,2393.42,-91566.2,18-08-2025
68,7,294,375,112.46,136.04,8842.5,18-08-2025
69,7,91,425,2642.58,2696.44,22890.5,18-08-2025
70,7,62,483,2131.14,2223.48,44600.22,18-08-2025
71,7,43,332,2782.36,3850.88,354748.64,18-08-2025
72,7,7,500,2844.75,3060.89,108070,18-08-2025
73,8,286,407,2375.68,2288.86,-35335.74,18-08-2025
74,8,208,65,446.04,473.79,1803.75,18-08-2025
75,8,28,286,1308.46,1835.42,150710.56,18-08-2025
76,8,31,180,413.56,458.81,8145,18-08-2025
77,8,107,202,2671.89,3542.09,175780.4,18-08-2025
78,8,81,382,1121.28,1585.95,177503.94,18-08-2025
79,8,66,213,2323.92,2462.56,29530.32,18-08-2025
80,8,53,326,461.22,493.76,10608.04,18-08-2025
81,8,146,437,595.69,860.07,115534.06,18-08-2025
82,8,273,226,2456.16,3402.36,213841.2,18-08-2025
83,8,261,25,1078.39,1355.68,6932.25,18-08-2025
84,8,26,426,1438.3,1325.59,-48014.46,18-08-2025
85,8,168,448,859.96,938.45,35163.52,18-08-2025
86,8,35,42,818.46,793.96,-1029,18-08-2025
87,8,188,242,139.25,122.71,-4002.68,18-08-2025
88,9,226,460,1058.94,1187.46,59119.2,18-08-2025
89,9,5,150,1392.19,1212.43,-26964,18-08-2025
90,9,30,382,498.56,541.25,16307.58,18-08-2025
91,9,138,259,1399.01,1916.2,133952.21,18-08-2025
92,9,184,369,1699.51,1464.86,-86585.85,18-08-2025
93,9,48,279,1688.47,2186.41,138925.26,18-08-2025
94,10,249,156,2974.35,4338.13,212749.68,18-08-2025
95,10,120,145,1867.57,2460.86,86027.05,18-08-2025
96,10,224,354,2597.77,2287.02,-110005.5,18-08-2025
97,10,208,454,2297.75,3257.11,435549.44,18-08-2025
98,10,297,97,824.44,756.6,-6580.48,18-08-2025
99,10,34,480,181.24,255.69,35736,18-08-2025
100,10,74,307,98.08,140.27,12952.33,18-08-2025
101,10,161,411,2584.23,2569.1,-6218.43,18-08-2025
102,10,28,430,956.8,1039.51,35565.3,18-08-2025
103,10,175,131,562.37,635.02,9517.15,18-08-2025
104,10,218,124,463.28,443.35,-2471.32,18-08-2025
105,10,94,212,2904.96,3283.52,80254.72,18-08-2025
106,10,57,241,1995.46,1715.85,-67386.01,18-08-2025
107,11,14,487,1852.62,2007.31,75334.03,18-08-2025
108,11,174,68,1711.41,2085.16,25415,18-08-2025
109,11,74,409,1894.82,2087.56,78830.66,18-08-2025
110,11,93,120,813.09,773.29,-4776,18-08-2025
111,11,148,15,2777.57,2809.72,482.25,18-08-2025
112,12,297,68,1181.48,1206.22,1682.32,18-08-2025
113,12,9,76,1369.61,1678.82,23499.96,18-08-2025
114,12,138,370,1467.95,1291.76,-65190.3,18-08-2025
115,12,197,175,1843.06,2333.63,85849.75,18-08-2025
116,12,146,307,995.78,1183.13,57516.45,18-08-2025
117,12,181,448,1295.38,1871.1,257922.56,18-08-2025
118,12,60,131,1964.81,2875.3,119274.19,18-08-2025
119,13,223,170,532.84,665.93,22625.3,18-08-2025
120,13,212,495,2117.27,2316.37,98554.5,18-08-2025
121,13,195,48,1887.68,1962.26,3579.84,18-08-2025
122,13,200,485,299.33,442.67,69519.9,18-08-2025
123,13,130,50,561.11,469.62,-4574.5,18-08-2025
124,13,81,66,716.27,933.15,14314.08,18-08-2025
125,13,125,444,524.8,500.28,-10886.88,18-08-2025
126,14,300,313,2826.56,3353.18,164832.06,18-08-2025
127,14,59,258,1878.33,1808.92,-17907.78,18-08-2025
128,14,21,377,2244.08,3099.16,322365.16,18-08-2025
129,14,78,404,2284,3274.48,400153.92,18-08-2025
130,14,5,47,1302.95,1314.13,525.46,18-08-2025
131,14,248,215,1841.27,1661.71,-38605.4,18-08-2025
132,14,112,331,1152.81,1727.83,190331.62,18-08-2025
133,14,114,377,1451.08,1914.69,174780.97,18-08-2025
134,14,180,166,1097.77,1591.86,82018.94,18-08-2025
135,15,210,125,2958.27,3374.09,51977.5,18-08-2025
136,15,72,301,1454.25,1958.02,151634.77,18-08-2025
137,15,146,202,1010.55,829.31,-36610.48,18-08-2025
138,15,254,367,2047.8,3018.85,356375.35,18-08-2025
139,15,20,341,2549.91,2113.4,-148849.91,18-08-2025
140,15,174,64,2646.88,2601.82,-2883.84,18-08-2025
141,15,101,189,2860.34,4220.59,257087.25,18-08-2025
142,15,164,76,344.19,505.39,12251.2,18-08-2025
