trade_id,user_id,stock_id,order_type,order_mode,trade_date,trade_time,quantity,price_per_share,total_value,brokerage_fee,exchange,sector,trade_status,settlement_date,currency,stoploss,target_price,holding_type
1,424,28,Buy,Limit,01-08-2025,12:02:03,840,1416.61,1189952.4,98.39,BSE,IT,Cancelled,11-09-2024,INR,1377.99,1453.28,Intraday
2,391,223,Sell,Market,25-11-2024,12:14:00,163,4872.61,794235.43,39.56,NSE,Pharma,Executed,25-10-2024,INR,4865.02,4920.02,Delivery
3,49,171,Sell,StopLoss,02-12-2024,04:48:50,345,4609.11,1590142.95,74.37,NSE,Auto,Pending,02-07-2025,INR,4598.34,4637.65,F&O
4,111,192,Buy,Market,29-09-2024,00:41:30,752,2933.89,2206285.28,67.21,BSE,Banking,Executed,23-04-2025,INR,2895.59,2968.44,F&O
5,177,244,Sell,Market,11-01-2025,14:51:47,581,4431.41,2574649.21,54.28,BSE,FMCG,Executed,10-08-2025,INR,4415.04,4437.4,Delivery
6,311,139,Buy,Limit,22-08-2024,21:07:08,224,2857.45,640068.8,91.12,NSE,Banking,Cancelled,09-01-2025,INR,2810.5,2869.34,Intraday
7,219,223,Sell,Limit,18-07-2025,07:11:04,632,201.19,127152.08,5.41,NSE,Pharma,Pending,05-12-2024,INR,166.92,209.82,Delivery
8,283,145,Sell,Market,14-01-2025,18:43:26,738,867.4,640141.2,95.12,BSE,Auto,Cancelled,10-09-2024,INR,828.57,912.21,F&O
9,222,299,Sell,Market,09-12-2024,23:39:03,791,1604.79,1269388.89,43.22,NSE,IT,Cancelled,23-03-2025,INR,1595.43,1632.97,Intraday
10,276,40,Buy,StopLoss,07-04-2025,03:45:05,73,3166.3,231139.9,27.09,BSE,Banking,Cancelled,25-06-2025,INR,3148.73,3180.96,Intraday
11,171,199,Sell,Market,06-11-2024,08:10:04,801,2954.18,2366298.18,65.33,BSE,IT,Executed,23-08-2024,INR,2908.95,2989.2,Delivery
12,59,289,Buy,StopLoss,09-02-2025,05:42:52,308,164.16,50561.28,47.63,BSE,FMCG,Executed,23-09-2024,INR,129.69,212.74,Delivery
13,15,229,Buy,StopLoss,26-01-2025,12:38:14,892,3123.65,2786295.8,70.46,NSE,Banking,Pending,29-10-2024,INR,3077.07,3137.54,F&O
14,414,256,Sell,Market,13-04-2025,13:28:25,712,1965.55,1399471.6,53.49,NSE,Auto,Pending,20-12-2024,INR,1936.28,1979.4,F&O
15,130,74,Sell,StopLoss,31-10-2024,11:14:15,704,3693.04,2599900.16,61.43,BSE,FMCG,Executed,30-01-2025,INR,3660.27,3701.19,Delivery
16,404,1,Sell,Limit,17-04-2025,22:46:25,329,3532.7,1162258.3,7.89,BSE,IT,Cancelled,21-08-2024,INR,3522.77,3545.6,Intraday
17,191,252,Buy,Market,09-01-2025,01:32:03,413,3450.13,1424903.69,75.76,BSE,FMCG,Cancelled,18-04-2025,INR,3442.27,3493.5,Intraday
18,455,73,Sell,StopLoss,16-04-2025,09:40:48,339,1218.35,413020.65,99.91,NSE,Banking,Executed,11-11-2024,INR,1190.75,1259.4,Delivery
19,329,174,Sell,Limit,03-08-2025,09:43:13,323,2864.21,925139.83,23.88,BSE,IT,Executed,30-03-2025,INR,2825.4,2913.11,F&O
20,493,275,Sell,StopLoss,12-04-2025,07:23:34,201,4772.73,959318.73,49.67,NSE,Pharma,Pending,04-02-2025,INR,4734.39,4806.21,Delivery
