Trade_ID,User_ID,Stock_ID,Order_Type,Order_Mode,Trade_Date,Trade_Time,Quantity,Price_Per_Share,Total_Value,BrokerageFee,Exchange,Sector,Trade_Status,Settlement_Date,Currency,StopLoss,Target_Price,Holding_Type
8001,490,51,Sell,Market,26-05-2025,11:33:48,520,2447.79,1272850.8,49.9,NSE,Banking,Pending,11-06-2025,INR,2408.16,2483.58,F&O
8002,58,73,Sell,Limit,02-03-2025,18:34:39,843,1249.99,1053741.57,13.52,NSE,Banking,Pending,30-06-2025,INR,1204.52,1257.31,F&O
8003,57,210,Buy,StopLoss,23-07-2025,22:12:31,396,538.79,213360.84,14.51,BSE,FMCG,Executed,09-04-2025,INR,527.16,544.39,Intraday
8004,345,63,Sell,Market,27-09-2024,08:30:34,927,462.27,428524.29,52.03,NSE,FMCG,Cancelled,16-11-2024,INR,453.8,472.29,Delivery
8005,253,230,Buy,Market,07-11-2024,14:04:44,198,2293.99,454210.02,60.93,BSE,Pharma,Cancelled,17-12-2024,INR,2282.7,2317.83,Delivery
8006,172,147,Sell,Market,13-10-2024,22:53:25,491,3400.43,1669611.13,12.34,NSE,Energy,Cancelled,15-02-2025,INR,3376.92,3424.62,Intraday
8007,183,52,Sell,Limit,23-08-2024,22:42:07,713,3178.95,2266591.35,17.59,BSE,IT,Cancelled,07-12-2024,INR,3148.15,3206.6,F&O
8008,272,91,Buy,Market,08-02-2025,10:24:22,346,4479.72,1549983.12,72.21,BSE,Energy,Pending,09-04-2025,INR,4458.26,4494.56,Delivery
8009,192,29,Buy,Limit,08-08-2025,15:11:47,537,3152.29,1692779.73,35.72,BSE,IT,Cancelled,22-04-2025,INR,3122.61,3170.09,F&O
8010,22,39,Buy,Market,08-05-2025,21:24:00,111,3115.31,345799.41,61.71,BSE,IT,Cancelled,12-09-2024,INR,3105.49,3126.92,Intraday
8011,174,70,Sell,Limit,14-10-2024,19:04:32,655,2196.86,1438943.3,43.02,NSE,Auto,Pending,05-10-2024,INR,2176.54,2215.2,Intraday
8012,32,289,Buy,StopLoss,20-09-2024,19:53:35,161,2602.55,419010.55,92.93,BSE,FMCG,Executed,16-11-2024,INR,2560.3,2620.3,Intraday
8013,407,6,Sell,Limit,10-12-2024,21:18:01,227,633.56,143818.12,26.38,NSE,IT,Cancelled,08-07-2025,INR,621.36,681.58,Intraday
