TradeID,UserID,StockID,OrderType,OrderMode,TradeDate,TradeTime,Quantity,PricePerShare,TotalValue,BrokerageFee,Exchange,Sector,TradeStatus,SettlementDate,Currency,StopLoss,TargetPrice,HoldingType
12001,199,5,Buy,StopLoss,25-09-2024,08:35:10,986,2490.72,2455849.92,47.85,NSE,IT,Pending,14-11-2024,INR,2482.16,2538.17,Intraday
12002,238,2,Buy,StopLoss,01-08-2025,07:05:05,133,3680.85,489553.05,22.77,NSE,Auto,Executed,05-03-2025,INR,3643.02,3712.04,Delivery
12003,392,162,Buy,Limit,01-10-2024,21:00:01,921,880.71,811133.91,63.23,BSE,FMCG,Executed,12-11-2024,INR,853.75,912.04,Delivery
12004,235,27,Buy,StopLoss,30-07-2025,17:48:16,903,2281.77,2060438.31,36.54,NSE,Energy,Pending,15-02-2025,INR,2243.61,2288.47,Intraday
12005,453,196,Sell,StopLoss,13-06-2025,06:36:06,718,2141,1537238,67.09,BSE,FMCG,Executed,11-11-2024,INR,2131.58,2158.97,Intraday
12006,410,158,Sell,Limit,12-04-2025,05:39:43,821,4526.73,3716445.33,8.04,BSE,Energy,Pending,29-08-2024,INR,4517.53,4575.61,Intraday
12007,198,35,Sell,Market,10-04-2025,02:13:28,444,3114.08,1382651.52,89.56,BSE,Auto,Cancelled,04-12-2024,INR,3069.64,3157.9,Intraday
12008,251,150,Buy,StopLoss,27-03-2025,05:18:36,820,2263.17,1855799.4,23.6,BSE,Pharma,Cancelled,16-08-2025,INR,2227.99,2273.14,Delivery
12009,479,146,Buy,StopLoss,02-07-2025,20:52:24,848,933,791184,88.63,BSE,Auto,Cancelled,26-10-2024,INR,886.8,955.96,Delivery
12010,415,223,Sell,StopLoss,28-12-2024,19:57:44,547,3070.13,1679361.11,31.74,NSE,Pharma,Pending,20-01-2025,INR,3040.14,3076.87,F&O
12011,427,257,Sell,Limit,09-11-2024,05:39:28,115,2053.9,236198.5,12.76,NSE,Energy,Cancelled,18-06-2025,INR,2040.5,2102.81,Intraday
12012,24,124,Sell,Market,30-03-2025,15:13:36,4,4500.17,18000.68,38.16,BSE,IT,Executed,25-01-2025,INR,4489.41,4519.65,Intraday
12013,434,113,Buy,Limit,16-11-2024,13:17:51,287,1828.56,524796.72,42.07,BSE,FMCG,Executed,26-10-2024,INR,1816.29,1865.79,F&O
12014,267,118,Buy,Limit,07-12-2024,05:09:48,734,4930.59,3619053.06,93.47,BSE,Energy,Pending,11-07-2025,INR,4924.88,4975.46,F&O
12015,277,239,Sell,Market,25-01-2025,23:42:42,438,4066.29,1781035.02,86.77,NSE,Auto,Pending,26-07-2025,INR,4023.57,4097.55,F&O
12016,188,183,Sell,StopLoss,23-01-2025,07:32:10,319,4050.5,1292109.5,23.88,BSE,Auto,Pending,26-01-2025,INR,4019.94,4073.17,Delivery
12017,91,284,Sell,Limit,01-07-2025,05:47:10,341,666.62,227317.42,43.6,NSE,Banking,Pending,12-10-2024,INR,650.93,683.69,Intraday
12018,360,72,Sell,StopLoss,08-05-2025,11:56:18,334,186.41,62260.94,34.88,BSE,Auto,Cancelled,23-07-2025,INR,138.85,194.84,F&O
12019,135,12,Sell,Limit,11-08-2025,20:31:50,505,2613.09,1319610.45,49.71,NSE,IT,Pending,15-01-2025,INR,2606.43,2628.2,F&O
12020,394,288,Buy,StopLoss,09-02-2025,01:08:35,127,573.9,72885.3,80.69,BSE,FMCG,Pending,13-08-2025,INR,536.78,586.88,Intraday
12021,302,220,Sell,Limit,24-05-2025,14:45:07,777,3635.17,2824527.09,8.28,NSE,Energy,Pending,05-11-2024,INR,3607.17,3645.32,Intraday
12022,31,68,Sell,StopLoss,06-09-2024,21:24:39,141,69.94,9861.54,91.13,BSE,IT,Pending,19-12-2024,INR,50.37,113.36,Delivery
12023,108,137,Sell,Limit,20-07-2025,00:03:53,252,224.61,56601.72,13.9,BSE,FMCG,Executed,03-04-2025,INR,190.21,240.95,Intraday
12024,389,256,Buy,Limit,06-03-2025,04:02:14,82,4875.82,399817.24,57.64,NSE,Auto,Executed,09-07-2025,INR,4842.16,4885.32,Intraday
12025,318,185,Buy,Market,20-07-2025,14:50:21,757,1749.25,1324182.25,33.4,NSE,Pharma,Executed,20-02-2025,INR,1702.7,1796.27,Intraday
12026,87,1,Buy,StopLoss,22-09-2024,11:13:10,259,402.25,104182.75,40.21,BSE,IT,Executed,05-08-2025,INR,390.52,416.76,Intraday
12027,377,196,Sell,Limit,27-05-2025,10:29:36,431,1464.77,631315.87,51.17,BSE,FMCG,Pending,25-08-2024,INR,1449.23,1472.63,Intraday
12028,121,93,Buy,Limit,30-09-2024,00:29:36,205,874.81,179336.05,19.39,NSE,Energy,Cancelled,08-06-2025,INR,835.96,885.24,Delivery
12029,384,41,Buy,StopLoss,02-03-2025,15:30:21,639,3354.66,2143627.74,35.06,BSE,Energy,Pending,11-11-2024,INR,3347.91,3370.26,F&O
12030,154,117,Sell,StopLoss,29-05-2025,13:12:44,520,2019.74,1050264.8,14.18,BSE,FMCG,Cancelled,12-03-2025,INR,1980.73,2055.62,Intraday
12031,153,40,Sell,StopLoss,17-09-2024,20:50:49,471,4785.52,2253979.92,80.01,BSE,Banking,Pending,26-09-2024,INR,4754.94,4829.87,F&O
12032,404,105,Sell,StopLoss,17-04-2025,18:08:20,152,2601.47,395423.44,45.37,NSE,IT,Pending,08-04-2025,INR,2586.9,2646.07,Delivery
