Stock_ID,Symbol,Company_Name,Sector,Industry,Exchange,ISIN,MarketCap,Face_Value,Dividend_Yield
1,A2ZINFRA,A2Z Infra Engineering Limited,Auto,Healthcare,NSE,INE2365230660,692196,1,4.35
2,ABB,ABB India Limited,IT,Healthcare,BSE,INE7359263495,289475,5,0.71
3,ABAN,Aban Offshore Limited,Auto,Oil & Gas,BSE,INE3547951197,157054,10,0.51
4,ACEINTEG,Ace Integrated Solutions Limited,FMCG,Finance,NSE,INE1203944397,261772,10,4.25
5,AAVAS,Aavas Financiers Limited,IT,Healthcare,BSE,INE2143692589,859948,5,0.25
6,ACCELYA,Accelya Solutions India Limited,FMCG,Software,BSE,INE7761316592,648372,2,1.2
7,AARTIIND,Aarti Industries Limited,Banking,Finance,BSE,INE7299958752,811704,10,1.87
8,A2ZINFRA,A2Z Infra Engineering Limited,IT,Software,NSE,INE2424955312,2296,2,0.84
9,AAKASH,Aakash Exploration Services Limited,IT,Software,BSE,INE3548632600,187576,1,4.5
10,ABINFRA,A B Infrabuild Limited,Pharma,Finance,BSE,INE4108223197,182587,1,1.69
11,ACEINTEG,Ace Integrated Solutions Limited,IT,Oil & Gas,NSE,INE4670125640,442244,10,2.54
12,AAVAS,Aavas Financiers Limited,Auto,Healthcare,BSE,INE6165187497,830965,2,2.81
13,AMJUMBO,A and M Jumbo Bags Limited,Pharma,Software,NSE,INE1445770717,620025,2,3.95
14,AMJUMBO,A and M Jumbo Bags Limited,IT,Finance,BSE,INE6914514603,537463,10,2.11
15,ABAN,Aban Offshore Limited,Energy,Software,BSE,INE4057720108,394125,2,1.52
16,ACCELYA,Accelya Solutions India Limited,Pharma,Oil & Gas,NSE,INE6822726225,289227,10,1.97
17,AARVEEDEN,Aarvee Denims & Exports Limited,Pharma,Oil & Gas,BSE,INE3771344278,248964,2,4.43
18,ACC,ACC Limited,IT,Software,BSE,INE9523366631,273456,5,1.14
19,AAVAS,Aavas Financiers Limited,FMCG,Healthcare,BSE,INE6346807725,162401,1,2.29
20,ACC,ACC Limited,Auto,Finance,NSE,INE5777278459,811870,1,1.42
21,AAVAS,Aavas Financiers Limited,IT,Healthcare,NSE,INE0155447860,487910,1,3.93
22,ABMINTLTD,ABM International Limited,Pharma,Healthcare,NSE,INE0972945095,860872,2,1.29
23,ABINFRA,A B Infrabuild Limited,Energy,Manufacturing,NSE,INE3538534306,828026,1,4.8
24,ABINFRA,A B Infrabuild Limited,IT,Oil & Gas,BSE,INE5240061835,104921,5,1.2
25,ABB,ABB India Limited,Auto,Oil & Gas,NSE,INE1778739324,35777,1,2.14
26,ACCURACY,Accuracy Shipping Limited,IT,Oil & Gas,NSE,INE4364882217,263834,2,0.35
27,AARTIIND,Aarti Industries Limited,IT,Software,BSE,INE7143692011,880651,1,4.97
28,ACEINTEG,Ace Integrated Solutions Limited,IT,Healthcare,NSE,INE3274659212,371791,1,0.18
29,AAVAS,Aavas Financiers Limited,IT,Software,NSE,INE6976161983,745689,10,0.13
30,AARON,Aaron Industries Limited,Pharma,Software,BSE,INE1790336546,893226,1,1.78
31,AARVI,Aarvi Encon Limited,FMCG,Oil & Gas,BSE,INE1836835913,83931,5,2.45
